Company,Industry,Size
Atlas Copco IAS GmbH,Education,Mid-size (51-500)
XiLLeR GmbH,Healthcare,Large (500+)
H. Ludendorff GmbH,Marketing,Large (500+)
Deutsche Telekom AG,Technology,Large (500+)
Bayer,Retail,Mid-size (51-500)
TOOLPORT GmbH,Hospitality,Mid-size (51-500)
EY,Healthcare,Mid-size (51-500)
ANDREAS STIHL AG & Co. KG,Manufacturing,Large (500+)
Lechler GmbH,Finance,Startup (1-50)
Teva Pharmaceuticals,Healthcare,Startup (1-50)
OMV Group,Finance,Large (500+)
MTU Aero Engines AG,Hospitality,Startup (1-50)
Munich Re,Healthcare,Large (500+)
MTU Maintenance Hannover GmbH,Hospitality,Large (500+)
U-Glow GmbH,Technology,Mid-size (51-500)
VEGA Grieshaber KG,Hospitality,Large (500+)
AUDI AG,Manufacturing,Large (500+)
"AMAZONEN-Werke H. Dreyer SE & Co. KG, Werk Gaste",Technology,Mid-size (51-500)
PowerCo SE,Finance,Mid-size (51-500)
Voith Group,Manufacturing,Mid-size (51-500)
PGBPGNGLOBAL,Finance,Large (500+)
EY Deutschland,Finance,Mid-size (51-500)
Lidl Stiftung & Co KG,Education,Startup (1-50)
Schickler Unternehmensberatung GmbH,Finance,Mid-size (51-500)
Reply Deutschland SE,Marketing,Startup (1-50)
Fraunhofer-Gesellschaft,Retail,Large (500+)
Hilti Deutschland,Education,Large (500+)
Deutsche Bundesbank,Retail,Mid-size (51-500)
SAP,Finance,Large (500+)
Sonova AG,Manufacturing,Large (500+)
Deutsche Telekom,Marketing,Mid-size (51-500)
Goodyear,Finance,Startup (1-50)
CASTFAST GmbH,Finance,Mid-size (51-500)
BRL Risk Consulting GmbH & Co. KG,Education,Mid-size (51-500)
Würth Deutschland,Hospitality,Mid-size (51-500)
advise research gmbh,Marketing,Startup (1-50)
etalytics GmbH,Healthcare,Startup (1-50)
Weissmaler GmbH,Technology,Mid-size (51-500)
Roche,Finance,Mid-size (51-500)
Deloitte GmbH,Retail,Mid-size (51-500)
Trumpf,Hospitality,Startup (1-50)
Lidl in Deutschland,Healthcare,Startup (1-50)
BMW AG,Finance,Mid-size (51-500)
Deutsche Bahn AG,Manufacturing,Mid-size (51-500)
AXA Group,Retail,Mid-size (51-500)
Prognos AG - Wir geben Orientierung.,Education,Mid-size (51-500)
Gerresheimer AG,Retail,Startup (1-50)
Simon-Kucher,Marketing,Mid-size (51-500)
Boston Consulting Group,Finance,Mid-size (51-500)
HypoVereinsbank - UniCredit - Deutschland,Hospitality,Startup (1-50)
Lidl Deutschland,Finance,Large (500+)
Simon-Kucher & Partners,Healthcare,Large (500+)
Sonova Retail Deutschland,Healthcare,Mid-size (51-500)
Deutsche Lufthansa AG,Hospitality,Large (500+)
Melotech,Technology,Startup (1-50)
GreenPocket GmbH,Education,Mid-size (51-500)
Cloover,Finance,Large (500+)
Deloitte,Hospitality,Startup (1-50)
OSCAR GmbH,Marketing,Startup (1-50)
PAIR Finance GmbH,Retail,Mid-size (51-500)
Agilent Technologies,Marketing,Mid-size (51-500)
TUM Klinikum Deutsches Herzzentrum,Education,Mid-size (51-500)
1WorldSync,Healthcare,Startup (1-50)
BMW Group,Marketing,Mid-size (51-500)
iq digital media marketing gmbh,Healthcare,Startup (1-50)
CHECK24 Vergleichsportal,Education,Mid-size (51-500)
Zurich Insurance,Hospitality,Large (500+)
LimeFlight,Retail,Large (500+)
InstaPro group,Healthcare,Mid-size (51-500)
Universitätsklinikum Köln,Manufacturing,Startup (1-50)
DEEL,Healthcare,Large (500+)
Drescher Consulting GmbH,Finance,Startup (1-50)
Bayerische Landesbank,Hospitality,Large (500+)
BBBank eG,Retail,Mid-size (51-500)
Amazon.com,Manufacturing,Large (500+)
FAIRTIQ AG,Hospitality,Large (500+)
Delivery Hero,Manufacturing,Large (500+)
Brainlab,Marketing,Startup (1-50)
Buhl Data Service GmbH,Retail,Mid-size (51-500)
]init[ AG,Retail,Mid-size (51-500)
